Handshake_ID,P-384_Time_ms,P-384_Bytes_Total,2,x448_Time_ms,x448_Bytes_Total,5,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_Total,8,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_Total,11,mlkem768_Time_ms,mlkem768_Bytes_Total
1,7.34,3963.0,,8.08,3963.0,,19.05,6403.0,,11.25,6403.0,,4.7,5950.0
2,6.51,3963.0,,4.97,3963.0,,14.07,6403.0,,9.05,6403.0,,3.67,5949.0
3,7.92,3963.0,,4.81,3963.0,,14.34,6403.0,,8.61,6403.0,,3.82,5950.0
4,6.38,3963.0,,4.92,3963.0,,22.05,6403.0,,9.22,6403.0,,4.17,5949.0
5,6.75,3963.0,,4.94,3963.0,,14.07,6403.0,,8.51,6403.0,,5.04,5949.0
6,7.38,3963.0,,4.76,3963.0,,14.08,6403.0,,7.3,6403.0,,4.92,5949.0
7,9.54,3963.0,,5.48,3963.0,,14.64,6403.0,,9.77,6403.0,,4.09,5948.0
8,11.19,3963.0,,4.55,3963.0,,14.17,6403.0,,8.84,6403.0,,3.98,5950.0
9,7.05,3963.0,,4.99,3963.0,,14.75,6403.0,,8.76,6403.0,,4.86,5948.0
10,8.21,3963.0,,5.23,3963.0,,13.7,6403.0,,7.54,6403.0,,5.27,5950.0
11,6.77,3963.0,,5.63,3963.0,,14.11,6403.0,,9.21,6403.0,,4.29,5949.0
12,6.68,3963.0,,4.73,3963.0,,21.09,6403.0,,9.1,6403.0,,3.94,5950.0
13,6.67,3963.0,,6.59,3963.0,,19.65,6403.0,,8.77,6403.0,,4.14,5948.0
14,9.21,3963.0,,4.97,3963.0,,15.36,6403.0,,7.2,6403.0,,3.64,5949.0
15,6.3,3963.0,,5.06,3963.0,,15.46,6403.0,,10.6,6403.0,,4.03,5949.0
16,8.18,3963.0,,4.71,3963.0,,15.36,6403.0,,7.13,9062.0,,6.96,5948.0
17,6.83,3963.0,,4.86,3963.0,,1017.29,8605.0,,7.27,6403.0,,4.63,5948.0
18,6.99,3963.0,,5.67,3963.0,,3013.37,6403.0,,6.99,6403.0,,4.25,5949.0
19,6.89,5402.0,,4.76,-1.0,,14.13,6403.0,,7.29,8604.0,,4.79,-1.0
20,8.51,3963.0,,7000.73,3963.0,,17.02,6403.0,,1010.52,6403.0,,1004.12,5950.0
21,7.46,3963.0,,4.79,3963.0,,1017.63,-1.0,,7.28,6403.0,,1004.24,5949.0
22,1006.53,3963.0,,4.54,3963.0,,1040.53,5183.0,,7.92,5183.0,,4.32,8155.0
23,6.8,3963.0,,4.65,3963.0,,13.96,6403.0,,1089.17,6403.0,,6.47,5948.0
24,6.65,3963.0,,4.48,5402.0,,13.84,6403.0,,6.99,6403.0,,1004.12,8155.0
25,6.92,3963.0,,1005.23,5402.0,,13.66,6403.0,,7.25,8604.0,,4.65,5950.0
26,8.21,3963.0,,4.57,3963.0,,14.45,6403.0,,1010.31,6403.0,,5.01,5948.0
27,9.7,5402.0,,4.63,3963.0,,15.19,9062.0,,7.44,9062.0,,4.45,8154.0
28,6.99,3963.0,,4.94,-1.0,,14.09,6403.0,,7.62,6403.0,,5.04,5949.0
29,7.81,3963.0,,1004.37,-1.0,,14.29,6403.0,,7.16,6403.0,,5.05,5948.0
30,8.32,3963.0,,3002.68,3963.0,,14.01,6403.0,,7.12,9062.0,,4.37,5949.0
31,8.45,3963.0,,1004.36,3963.0,,13.98,6403.0,,8.63,-1.0,,4.32,5950.0
32,6.4,5402.0,,3003.46,3963.0,,21.52,6403.0,,8.42,11256.0,,3.99,8154.0
33,6.61,3963.0,,4.65,-1.0,,13.98,6403.0,,8.73,9062.0,,3.72,5949.0
34,6.16,3963.0,,4.78,3963.0,,13.76,6403.0,,1020.9,6403.0,,1003.04,5948.0
35,1005.74,3963.0,,3003.17,3963.0,,13.91,9062.0,,7.0,6403.0,,5.5,5950.0
36,6.35,3963.0,,5.24,3963.0,,20.93,6403.0,,7.78,6403.0,,6.19,5949.0
37,3006.75,3963.0,,3002.9,3963.0,,14.03,5183.0,,7.69,6403.0,,3.83,5949.0
38,7.05,3963.0,,4.9,3963.0,,14.45,6403.0,,7.26,6403.0,,4.0,5949.0
39,11.52,3963.0,,4.5,3963.0,,1040.66,6403.0,,8.34,6403.0,,1004.17,5949.0
40,8.04,5402.0,,3002.96,3963.0,,14.35,6403.0,,8.06,6403.0,,6.62,5949.0
41,6.52,3963.0,,1006.69,6841.0,,14.13,6403.0,,7.24,6403.0,,5.82,5950.0
42,8.38,3963.0,,7000.23,3963.0,,14.22,6403.0,,7.1,9062.0,,4.24,5949.0
43,6.04,3963.0,,4.7,3963.0,,13.81,11721.0,,6.84,6403.0,,6.45,5949.0
44,1006.4,3963.0,,4.55,3963.0,,14.09,6403.0,,6.75,6403.0,,5.2,5948.0
45,6.09,3963.0,,7.46,3963.0,,13.63,6403.0,,6.88,6403.0,,4.76,5948.0
46,6.59,3963.0,,4.71,3963.0,,14.32,6403.0,,8.52,6403.0,,4.09,5948.0
47,8.23,3963.0,,4.53,3963.0,,14.15,6403.0,,6.95,9062.0,,4.6,5949.0
48,7.84,3963.0,,4.91,5402.0,,14.04,6403.0,,6.93,12890.0,,4.09,5949.0
49,7.02,3963.0,,4.38,3963.0,,16.04,6403.0,,6.93,6403.0,,5.52,10183.0
50,6.21,-1.0,,4.61,3963.0,,13.93,9104.0,,7.05,6403.0,,3.79,5948.0
51,6.88,3963.0,,4.54,3963.0,,17.94,6403.0,,7.36,11263.0,,3.79,5949.0
52,6.42,3963.0,,5.12,3963.0,,22.08,6403.0,,7.82,6403.0,,3.92,5949.0
53,6.8,3963.0,,4.65,-1.0,,13.83,9062.0,,7.03,6403.0,,1003.09,5948.0
54,1007.37,5402.0,,4.6,5402.0,,15.32,6403.0,,1032.22,6403.0,,3.97,10358.0
55,1006.01,3963.0,,4.71,3963.0,,1183.88,6403.0,,6.76,9062.0,,1004.38,5950.0
56,6.02,3963.0,,4.5,3963.0,,14.42,6403.0,,7.22,6403.0,,6.31,5950.0
57,1005.48,3963.0,,4.78,3963.0,,13.75,6403.0,,6.81,6403.0,,1004.16,5950.0
58,8.37,3963.0,,4.51,3963.0,,14.01,6403.0,,1044.8,6403.0,,4.11,5949.0
59,8.74,3963.0,,5.63,3963.0,,14.78,6403.0,,7.11,6403.0,,1005.69,5949.0
60,5.93,3963.0,,4.64,3963.0,,14.09,11721.0,,7.04,6403.0,,4.17,8153.0
61,5.85,3963.0,,3004.28,3963.0,,13.85,6403.0,,7.14,6403.0,,5.29,5949.0
62,6.09,3963.0,,4.72,3963.0,,16.53,8605.0,,7.35,8969.0,,4.26,8154.0
63,8.11,3963.0,,3004.38,3963.0,,23.15,-1.0,,7.18,6403.0,,4.81,5949.0
64,6.25,5402.0,,4.86,3963.0,,14.44,11265.0,,7.14,11129.0,,4.12,5948.0
65,7.87,3963.0,,4.6,3963.0,,14.06,8606.0,,8.31,5183.0,,4.35,5949.0
66,6.03,3963.0,,4.75,3963.0,,14.17,6403.0,,6.96,6403.0,,4.97,5949.0
67,6.33,3963.0,,4.69,3963.0,,15.54,9062.0,,7.94,6403.0,,4.8,5949.0
68,1006.22,3963.0,,4.45,5402.0,,14.54,6403.0,,7.04,6403.0,,4.53,8155.0
69,6.66,3963.0,,1005.07,3963.0,,14.21,11129.0,,6.76,6403.0,,1004.42,8154.0
70,1006.24,3963.0,,4.44,3963.0,,1015.01,6403.0,,1031.74,6403.0,,3.85,5949.0
71,1008.67,6841.0,,4.42,5402.0,,15.55,-1.0,,8.66,6403.0,,4.16,5950.0
72,1005.56,3963.0,,4.29,5402.0,,3016.42,3963.0,,1021.53,6403.0,,4.12,5949.0
73,6.21,3963.0,,4.62,3963.0,,14.46,8604.0,,1033.73,9062.0,,3.99,5949.0
74,7.7,3963.0,,1004.76,3963.0,,1014.75,6403.0,,7.02,6403.0,,4.16,5949.0
